The following are examples of j_flowtime.d.

This is a simple script to trace the timing and the not-so-simple flow of 
Java methods and classes.  Here it traces the example program, 
Code/Java/func_abc

# j_flowtime.d
  C    PID/TID   TIME(us)         DELTA(us) -- CLASS.METHOD
  0 311481/2     4790256870903            2 -> java/lang/Object.<clinit>
  0 311481/2     4790256870950           46   -> java/lang/Object.registerNatives
  0 311481/2     4790256871090          140   <- java/lang/Object.registerNatives
  0 311481/2     4790256871109           18 <- java/lang/Object.<clinit>
  0 311481/2     4790256871121           12 -> java/lang/String.<clinit>
  0 311481/2     4790256871518          397   -> java/lang/String$CaseInsensitiveComparator.<init>
  0 311481/2     4790256871531           12     -> java/lang/String$CaseInsensitiveComparator.<init>
  0 311481/2     4790256871541           10       -> java/lang/Object.<init>
  0 311481/2     4790256871549            7       <- java/lang/Object.<init>
  0 311481/2     4790256871558            8     <- java/lang/String$CaseInsensitiveComparator.<init>
  0 311481/2     4790256871566            7   <- java/lang/String$CaseInsensitiveComparator.<init>
  0 311481/2     4790256871575            9 <- java/lang/String.<clinit>
  0 311481/2     4790256871644           68 -> java/lang/System.<clinit>
  0 311481/2     4790256871656           11   -> java/lang/System.registerNatives
  0 311481/2     4790256871675           18   <- java/lang/System.registerNatives
  0 311481/2     4790256871686           10   -> java/lang/System.nullInputStream
  0 311481/2     4790256871695            9     -> java/lang/System.currentTimeMillis
  0 311481/2     4790256871705           10     <- java/lang/System.currentTimeMillis
  0 311481/2     4790256871714            8   <- java/lang/System.nullInputStream
  0 311481/2     4790256871726           11   -> java/lang/System.nullPrintStream
  0 311481/2     4790256871734            7     -> java/lang/System.currentTimeMillis
  0 311481/2     4790256871741            7     <- java/lang/System.currentTimeMillis
  0 311481/2     4790256871749            7   <- java/lang/System.nullPrintStream
  0 311481/2     4790256871758            9   -> java/lang/System.nullPrintStream
  0 311481/2     4790256871766            7     -> java/lang/System.currentTimeMillis
  0 311481/2     4790256871773            7     <- java/lang/System.currentTimeMillis
  0 311481/2     4790256871781            7   <- java/lang/System.nullPrintStream
  0 311481/2     4790256871792           10 <- java/lang/System.<clinit>
  0 311481/2     4790256871870           78 -> java/lang/ThreadGroup.<init>
  0 311481/2     4790256871881           10   -> java/lang/Object.<init>
  0 311481/2     4790256871889            7   <- java/lang/Object.<init>
  0 311481/2     4790256871906           17 <- java/lang/ThreadGroup.<init>
  0 311481/2     4790256871918           11 -> java/lang/ThreadGroup.<init>
  0 311481/2     4790256871926            7   -> java/lang/Object.<init>
  0 311481/2     4790256871933            7   <- java/lang/Object.<init>
  0 311481/2     4790256871945           12   -> java/lang/ThreadGroup.checkAccess
  0 311481/2     4790256871955           10     -> java/lang/System.getSecurityManager
  0 311481/2     4790256871964            8     <- java/lang/System.getSecurityManager
  0 311481/2     4790256871972            8   <- java/lang/ThreadGroup.checkAccess
  0 311481/2     4790256871984           12   -> java/lang/ThreadGroup.add
  0 311481/2     4790256872006           21   <- java/lang/ThreadGroup.add
  0 311481/2     4790256872014            8 <- java/lang/ThreadGroup.<init>
  0 311481/2     4790256872201          187 -> java/lang/Thread.<clinit>
  0 311481/2     4790256872213           12   -> java/lang/Thread.registerNatives
  0 311481/2     4790256872239           25   <- java/lang/Thread.registerNatives
  0 311481/2     4790256872606          367   -> java/lang/RuntimePermission.<init>
  0 311481/2     4790256872618           11     -> java/security/BasicPermission.<init>
  0 311481/2     4790256872628            9       -> java/security/Permission.<init>
  0 311481/2     4790256872637            9         -> java/lang/Object.<init>
  0 311481/2     4790256872645            7         <- java/lang/Object.<init>
  0 311481/2     4790256872656           10       <- java/security/Permission.<init>
  0 311481/2     4790256872666           10       -> java/security/BasicPermission.init
  0 311481/2     4790256872677           11         -> java/lang/String.length
  0 311481/2     4790256872686            8         <- java/lang/String.length
  0 311481/2     4790256872697           11         -> java/lang/String.charAt
  0 311481/2     4790256872707           10         <- java/lang/String.charAt
  0 311481/2     4790256872720           12         -> java/lang/String.equals
  0 311481/2     4790256872728            8         <- java/lang/String.equals
  0 311481/2     4790256872737            9       <- java/security/BasicPermission.init
  0 311481/2     4790256872745            7     <- java/security/BasicPermission.<init>
  0 311481/2     4790256872753            7   <- java/lang/RuntimePermission.<init>
  0 311481/2     4790256873195          442   -> sun/misc/SoftCache.<init>
  0 311481/2     4790256873208           12     -> java/util/AbstractMap.<init>
  0 311481/2     4790256873218            9       -> java/lang/Object.<init>
  0 311481/2     4790256873226            7       <- java/lang/Object.<init>
  0 311481/2     4790256873238           11     <- java/util/AbstractMap.<init>
  0 311481/2     4790256873371          133     -> java/lang/ref/ReferenceQueue.<clinit>
  0 311481/2     4790256873443           72       -> java/lang/ref/ReferenceQueue$Null.<init>
  0 311481/2     4790256873454           10         -> java/lang/ref/ReferenceQueue$Null.<init>
