Following are examples of py_flowinfo.d.

This is a simple script to trace the flow of Python functions.  Here it traces 
the flow into and out of libraries and the example program,
Code/Python/func_abc.py.

# py_flowinfo.d
C    PID  DELTA(us)              FILE:LINE TYPE     -- FUNC
0 145424          3           site.py:58   func     -> ?
0 145424       1375             os.py:22   func       -> ?
0 145424        692      posixpath.py:11   func         -> ?
0 145424        184           stat.py:4    func           -> ?
0 145424         21           stat.py:86   func           <- ?
0 145424         32      posixpath.py:454  func         <- ?
0 145424         18             os.py:34   func         -> _get_exports_list
0 145424        135             os.py:38   func         <- _get_exports_list
0 145424        261       UserDict.py:1    func         -> ?
0 145424         11       UserDict.py:3    func           -> UserDict
0 145424         36       UserDict.py:71   func           <- UserDict
0 145424         16       UserDict.py:73   func           -> IterableUserDict
0 145424          9       UserDict.py:74   func           <- IterableUserDict
0 145424         13       UserDict.py:77   func           -> DictMixin
0 145424        174       UserDict.py:169  func           <- DictMixin
0 145424         11       UserDict.py:77   func         <- ?
0 145424         17             os.py:458  func         -> _Environ
0 145424         11             os.py:489  func         <- _Environ
0 145424         13             os.py:459  func         -> __init__
0 145424         11       UserDict.py:4    func           -> __init__
0 145424         11       UserDict.py:9    func           <- __init__
0 145424         10             os.py:461  func         <- __init__
0 145424         11             os.py:501  func         -> _exists
0 145424        604          <string>:0    func           -> ?
0 145424         10          <string>:0    func           <- ?
0 145424          9             os.py:504  func         <- _exists
0 145424          9             os.py:501  func         -> _exists
0 145424         24          <string>:0    func           -> ?
0 145424          9          <string>:0    func           <- ?
0 145424         15             os.py:506  func         <- _exists
0 145424          9             os.py:501  func         -> _exists
0 145424         23          <string>:0    func           -> ?
0 145424          8          <string>:0    func           <- ?
0 145424          9             os.py:504  func         <- _exists
0 145424         26             os.py:501  func         -> _exists
0 145424         23          <string>:0    func           -> ?
0 145424          8          <string>:0    func           <- ?
0 145424          8             os.py:504  func         <- _exists
0 145424         11             os.py:501  func         -> _exists
0 145424         22          <string>:0    func           -> ?
0 145424          8          <string>:0    func           <- ?
0 145424          8             os.py:504  func         <- _exists
0 145424         11             os.py:501  func         -> _exists
0 145424         22          <string>:0    func           -> ?
0 145424          8          <string>:0    func           <- ?
0 145424          8             os.py:504  func         <- _exists
0 145424          9             os.py:501  func         -> _exists
0 145424         21          <string>:0    func           -> ?
0 145424          9          <string>:0    func           <- ?
0 145424         14             os.py:506  func         <- _exists
0 145424         10             os.py:501  func         -> _exists
0 145424         22          <string>:0    func           -> ?
0 145424          9          <string>:0    func           <- ?
0 145424         13             os.py:506  func         <- _exists
0 145424         11             os.py:501  func         -> _exists
0 145424         22          <string>:0    func           -> ?
0 145424          8          <string>:0    func           <- ?
0 145424         13             os.py:506  func         <- _exists
0 145424        181       copy_reg.py:5    func         -> ?
0 145424        181          types.py:4    func           -> ?
0 145424         64          types.py:55   func             -> _C
0 145424         10          types.py:56   func             <- _C
0 145424         35          types.py:89   func           <- ?
0 145424         22       copy_reg.py:14   func           -> pickle
0 145424         11       copy_reg.py:27   func             -> constructor
0 145424          9       copy_reg.py:29   func             <- constructor
0 145424          9       copy_reg.py:25   func           <- pickle
0 145424         12       copy_reg.py:175  func         <- ?
0 145424         15       copy_reg.py:14   func         -> pickle
0 145424         10       copy_reg.py:27   func           -> constructor
0 145424          9       copy_reg.py:29   func           <- constructor
0 145424          9       copy_reg.py:25   func         <- pickle
0 145424         10       copy_reg.py:14   func         -> pickle
0 145424         10       copy_reg.py:27   func           -> constructor
0 145424          9       copy_reg.py:29   func           <- constructor
0 145424          9       copy_reg.py:25   func         <- pickle
0 145424          9             os.py:501  func         -> _exists
0 145424         26          <string>:0    func           -> ?
0 145424          9          <string>:0    func           <- ?
0 145424         14             os.py:506  func         <- _exists
0 145424          9             os.py:711  func       <- ?
0 145424         33           site.py:238  func       -> _Printer
0 145424         11           site.py:279  func       <- _Printer
0 145424         38           site.py:317  func       -> _Helper
0 145424          9           site.py:326  func       <- _Helper
0 145424         34           site.py:376  func       -> main
0 145424          8           site.py:69   func         -> abs__file__
0 145424         11      posixpath.py:401  func           -> abspath
0 145424          9      posixpath.py:47   func             -> isabs
0 145424         11      posixpath.py:49   func             <- isabs
0 145424         10      posixpath.py:374  func             -> normpath
0 145424         22      posixpath.py:398  func             <- normpath
0 145424         10      posixpath.py:405  func           <- abspath
0 145424         16      posixpath.py:401  func           -> abspath
0 145424          9      posixpath.py:47   func             -> isabs
0 145424          9      posixpath.py:49   func             <- isabs
0 145424          9      posixpath.py:374  func             -> normpath
0 145424         17      posixpath.py:398  func             <- normpath
0 145424         10      posixpath.py:405  func           <- abspath
0 145424         10      posixpath.py:401  func           -> abspath
0 145424          9      posixpath.py:47   func             -> isabs
0 145424          9      posixpath.py:49   func             <- isabs
0 145424          9      posixpath.py:374  func             -> normpath
0 145424         16      posixpath.py:398  func             <- normpath
0 145424         10      posixpath.py:405  func           <- abspath
0 145424         10      posixpath.py:401  func           -> abspath
0 145424          9      posixpath.py:47   func             -> isabs
0 145424          9      posixpath.py:49   func             <- isabs
0 145424          9      posixpath.py:374  func             -> normpath
0 145424         16      posixpath.py:398  func             <- normpath
0 145424          9      posixpath.py:405  func           <- abspath
0 145424         15      posixpath.py:401  func           -> abspath
0 145424          9      posixpath.py:47   func             -> isabs
0 145424          9      posixpath.py:49   func             <- isabs
0 145424          9      posixpath.py:374  func             -> normpath
0 145424         16      posixpath.py:398  func             <- normpath
0 145424          9      posixpath.py:405  func           <- abspath
0 145424         22      posixpath.py:401  func           -> abspath
0 145424          9      posixpath.py:47   func             -> isabs
0 145424          9      posixpath.py:49   func             <- isabs
0 145424          9      posixpath.py:374  func             -> normpath
0 145424         16      posixpath.py:398  func             <- normpath
0 145424          9      posixpath.py:405  func           <- abspath
0 145424         18      posixpath.py:401  func           -> abspath
0 145424          9      posixpath.py:47   func             -> isabs
0 145424          9      posixpath.py:49   func             <- isabs
0 145424          9      posixpath.py:374  func             -> normpath
0 145424         16      posixpath.py:398  func             <- normpath
0 145424         10      posixpath.py:405  func           <- abspath
0 145424         10      posixpath.py:401  func           -> abspath
0 145424          9      posixpath.py:47   func             -> isabs
0 145424          9      posixpath.py:49   func             <- isabs
0 145424          9      posixpath.py:374  func             -> normpath
0 145424         16      posixpath.py:398  func             <- normpath
0 145424          9      posixpath.py:405  func           <- abspath
