The following are examples of py_flowtime.d.

This is a simple script to trace the flow of Python functions.  Here it traces 
the example program, Code/Python/func_abc.py

# py_flowtime.d
  C TIME(us)         FILE             DELTA(us)  -- FUNC
  0 3064660319556    site.py                  3 -> ?
  0 3064660320224    os.py                  667   -> ?
  0 3064660321335    posixpath.py          1111     -> ?
  0 3064660321526    stat.py                190       -> ?
  0 3064660321546    stat.py                 20       <- ?
  0 3064660321576    posixpath.py            29     <- ?
  0 3064660321593    os.py                   17     -> _get_exports_list
  0 3064660321728    os.py                  134     <- _get_exports_list
  0 3064660321989    UserDict.py            260     -> ?
  0 3064660322000    UserDict.py             10       -> UserDict
  0 3064660322035    UserDict.py             34       <- UserDict
  0 3064660322050    UserDict.py             15       -> IterableUserDict
  0 3064660322058    UserDict.py              8       <- IterableUserDict
  0 3064660322071    UserDict.py             12       -> DictMixin
  0 3064660322247    UserDict.py            176       <- DictMixin
  0 3064660322258    UserDict.py             10     <- ?
  0 3064660322275    os.py                   16     -> _Environ
  0 3064660322285    os.py                   10     <- _Environ
  0 3064660322298    os.py                   13     -> __init__
  0 3064660322308    UserDict.py             10       -> __init__
  0 3064660322319    UserDict.py             10       <- __init__
  0 3064660322328    os.py                    9     <- __init__
  0 3064660322338    os.py                   10     -> _exists
  0 3064660322946    <string>               607       -> ?
  0 3064660322955    <string>                 8       <- ?
  0 3064660322963    os.py                    8     <- _exists
  0 3064660322972    os.py                    8     -> _exists
  0 3064660322996    <string>                23       -> ?
  0 3064660323005    <string>                 8       <- ?
  0 3064660323020    os.py                   14     <- _exists
  0 3064660323029    os.py                    8     -> _exists
  0 3064660323051    <string>                22       -> ?
  0 3064660323059    <string>                 7       <- ?
  0 3064660323067    os.py                    8     <- _exists
  0 3064660323077    os.py                   10     -> _exists
  0 3064660323098    <string>                21       -> ?
  0 3064660323106    <string>                 7       <- ?
  0 3064660323114    os.py                    8     <- _exists
  0 3064660323125    os.py                   10     -> _exists
  0 3064660323146    <string>                21       -> ?
  0 3064660323154    <string>                 7       <- ?
  0 3064660323162    os.py                    8     <- _exists
  0 3064660323173    os.py                   10     -> _exists
  0 3064660323194    <string>                21       -> ?
  0 3064660323202    <string>                 7       <- ?
  0 3064660323210    os.py                    8     <- _exists
  0 3064660323218    os.py                    8     -> _exists
  0 3064660323239    <string>                21       -> ?
  0 3064660323247    <string>                 8       <- ?
  0 3064660323261    os.py                   13     <- _exists
  0 3064660323271    os.py                   10     -> _exists
  0 3064660323293    <string>                21       -> ?
  0 3064660323301    <string>                 8       <- ?
  0 3064660323314    os.py                   12     <- _exists
  0 3064660323324    os.py                   10     -> _exists
  0 3064660323345    <string>                21       -> ?
  0 3064660323354    <string>                 8       <- ?
  0 3064660323366    os.py                   12     <- _exists
  0 3064660323545    copy_reg.py            178     -> ?
  0 3064660323726    types.py               180       -> ?
  0 3064660323790    types.py                64         -> _C
