The following are examples of running tcl_insflow.d

Here you can see the script running while tracing Code/Tcl/func_abc.tcl

# tcl_insflow.d
  C    PID TIME(us)         DELTA(us)  TYPE -- CALL
  0 174829 4436207514685            3   cmd -> if
  0 174829 4436207514793          107  inst   -> push1
  0 174829 4436207514805           11  inst   <- push1
  0 174829 4436207514814            8  inst   -> push1
  0 174829 4436207514820            5  inst   <- push1
  0 174829 4436207514826            5  inst   -> push1
  0 174829 4436207514832            5  inst   <- push1
  0 174829 4436207514838            5  inst   -> invokeStk1
  0 174829 4436207514845            6   cmd     -> info
  0 174829 4436207514883           38   cmd     <- info
  0 174829 4436207514895           11  inst   <- invokeStk1
  0 174829 4436207514901            6  inst   -> push1
  0 174829 4436207514907            5  inst   <- push1
  0 174829 4436207514913            5  inst   -> eq
  0 174829 4436207514927           14  inst   <- eq
  0 174829 4436207514933            6  inst   -> done
  0 174829 4436207514940            6  inst   <- done
  0 174829 4436207514978           38  inst   -> push1
  0 174829 4436207514985            6  inst   <- push1
  0 174829 4436207514991            5  inst   -> push1
  0 174829 4436207514996            5  inst   <- push1
  0 174829 4436207515002            5  inst   -> push1
  0 174829 4436207515007            5  inst   <- push1
  0 174829 4436207515013            5  inst   -> push1
  0 174829 4436207515019            5  inst   <- push1
  0 174829 4436207515024            5  inst   -> invokeStk1
  0 174829 4436207515031            6   cmd     -> proc
  0 174829 4436207515045           13   cmd     <- proc
  0 174829 4436207515051            6  inst   <- invokeStk1
  0 174829 4436207515057            6  inst   -> done
  0 174829 4436207515063            5  inst   <- done
  0 174829 4436207515069            6   cmd <- if
  0 174829 4436207515086           16   cmd -> tclInit
  0 174829 4436207515295          208  proc   -> tclInit
  0 174829 4436207515305           10  inst     -> push1
  0 174829 4436207515311            5  inst     <- push1
  0 174829 4436207515317            6  inst     -> push1
  0 174829 4436207515323            5  inst     <- push1
  0 174829 4436207515328            5  inst     -> push1
  0 174829 4436207515334            5  inst     <- push1
  0 174829 4436207515340            5  inst     -> push1
  0 174829 4436207515345            5  inst     <- push1
  0 174829 4436207515351            5  inst     -> invokeStk1
  0 174829 4436207515357            6   cmd       -> global
  0 174829 4436207515369           11   cmd       <- global
  0 174829 4436207515375            6  inst     <- invokeStk1
  0 174829 4436207515381            5  inst     -> pop
  0 174829 4436207515387            5  inst     <- pop
  0 174829 4436207515393            5  inst     -> push1
  0 174829 4436207515398            5  inst     <- push1
