#  S/390 opcodes list. Use s390-mkopc to convert it into the opcode table.
#  Copyright 2000, 2001 Free Software Foundation, Inc.
#  Contributed by Martin Schwidefsky (schwidefsky@de.ibm.com).
5a a RX_RRRD "add" esa
6a ad RX_FRRD "add normalized (long)" esa
2a adr RR_FF "add normalized (long)" esa
7a ae RX_FRRD "add normalized (short)" esa
3a aer RR_FF "add normalized (short)" esa
4a ah RX_RRRD "add halfword" esa
5e al RX_RRRD "add logical" esa
1e alr RR_RR "add logical" esa
fa ap SS_LLRDRD "add decimal" esa
1a ar RR_RR "add" esa
7e au RX_FRRD "add unnormalized (short)" esa
3e aur RR_FF "add unnormalized (short)" esa
6e aw RX_FRRD "add unnormalized (long)" esa
2e awr RR_FF "add unnormalized (long)" esa
36 axr RR_FF "add normalized" esa
b240 bakr RRE_RR "branch and stack" esa
45 bal RX_RRRD "branch and link" esa
05 balr RR_RR "branch and link" esa
4d bas RX_RRRD "branch and save" esa
0d basr RR_RR "branch and save" esa
0c bassm RR_RR "branch and save and set mode" esa
47 bc RX_URRD "branch on condition" esa
07 bcr RR_UR "branch on condition" esa
46 bct RX_RRRD "branch on count" esa
06 bctr RR_RR "branch on count" esa
b258 bsg RRE_RR "branch in subspace group" esa
0b bsm RR_RR "branch and set mode" esa
86 bxh RS_RRRD "branch on index high" esa
87 bxle RS_RRRD "branch on index low or equal" esa
59 c RX_RRRD "compare" esa
69 cd RX_FRRD "compare (long)" esa
29 cdr RR_FF "compare (long)" esa
bb cds RS_RRRD "compare double and swap" esa
79 ce RX_FRRD "compare (short)" esa
39 cer RR_FF "compare (short)" esa
b21a cfc S_RD "compare and form codeword" esa
49 ch RX_RRRD "compare halfword" esa
55 cl RX_RRRD "compare logical" esa
d5 clc SS_L0RDRD "compare logical" esa
0f clcl RR_RR "compare logical long" esa
95 cli SI_URD "compare logical" esa
bd clm RS_RURD "compare logical characters under mask" esa
15 clr RR_RR "compare logical" esa
b25d clst RRE_RR "compare logical string" esa
b263 cmpsc RRE_RR "compression call" esa
f9 cp SS_LLRDRD "compare decimal" esa
b24d cpya RRE_AA "copy access" esa
19 cr RR_RR "compare" esa
ba cs RS_RRRD "compare and swap" esa
b230 csch S_00 "clear subchannel" esa
b257 cuse RRE_RR "compare until substring equal" esa
b250 csp RRE_RR "compare and swap and purge" esa
4f cvb RX_RRRD "convert to binary" esa
4e cvd RX_RRRD "convert to decimal" esa
5d d RX_RRRD "divide" esa
6d dd RX_FRRD "divide (long)" esa
2d ddr RR_FF "divide (long)" esa
7d de RX_FRRD "divide (short)" esa
3d der RR_FF "divide (short)" esa
83 diag RS_RRRD "diagnose" esa
fd dp SS_LLRDRD "divide decimal" esa
1d dr RR_RR "divide" esa
b22d dxr RRE_F0 "divide (ext.)" esa
b24f ear RRE_RA "extract access" esa
de ed SS_L0RDRD "edit" esa
df edmk SS_L0RDRD "edit and mark" esa
b226 epar RRE_R0 "extract primary ASN" esa
b249 ereg RRE_RR "extract stacked registers" esa
b227 esar RRE_R0 "extract secondary ASN" esa
b24a esta RRE_RR "extract stacked state" esa
44 ex RX_RRRD "execute" esa
24 hdr RR_FF "halve (long)" esa
34 her RR_FF "halve (short)" esa
b231 hsch S_00 "halt subchannel" esa
b224 iac RRE_R0 "insert address space control" esa
43 ic RX_RRRD "insert character" esa
bf icm RS_RURD "insert characters under mask" esa
b20b ipk S_00 "insert PSW key" esa
b222 ipm RRE_R0 "insert program mask" esa
b221 ipte RRE_RR "invalidate page table entry" esa
b229 iske RRE_RR "insert storage key extended" esa
b223 ivsk RRE_RR "insert virtual storage key" esa
58 l RX_RRRD "load" esa
41 la RX_RRRD "load address" esa
51 lae RX_RRRD "load address extended" esa
9a lam RS_AARD "load access multiple" esa
e500 lasp SSE_RDRD "load address space parameters" esa
23 lcdr RR_FF "load complement (long)" esa
33 lcer RR_FF "load complement (short)" esa
13 lcr RR_RR "load complement" esa
b7 lctl RS_CCRD "load control" esa
68 ld RX_FRRD "load (long)" esa
28 ldr RR_FF "load (long)" esa
78 le RX_FRRD "load (short)" esa
38 ler RR_FF "load (short)" esa
48 lh RX_RRRD "load halfword" esa
98 lm RS_RRRD "load multiple" esa
21 lndr RR_FF "load negative (long)" esa
31 lner RR_FF "load negative (short)" esa
11 lnr RR_RR "load negative" esa
20 lpdr RR_FF "load positive (long)" esa
30 lper RR_FF "load positive (short)" esa
10 lpr RR_RR "load positive" esa
82 lpsw S_RD "load PSW" esa
18 lr RR_RR "load" esa
b1 lra RX_RRRD "load real address" esa
25 lrdr RR_FF "load rounded (ext. to long)" esa
35 lrer RR_FF "load rounded (long to short)" esa
22 ltdr RR_FF "load and test (long)" esa
32 lter RR_FF "load and test (short)" esa
12 ltr RR_RR "load and test" esa
b24b lura RRE_RR "load using real address" esa
5c m RX_RRRD "multiply" esa
af mc SI_URD "monitor call" esa
6c md RX_FRRD "multiply (long)" esa
2c mdr RR_FF "multiply (long)" esa
7c me RX_FRRD "multiply (short to long)" esa
3c mer RR_FF "multiply (short to long)" esa
4c mh RX_RRRD "multiply halfword" esa
fc mp SS_LLRDRD "multiply decimal" esa
1c mr RR_RR "multiply" esa
b232 msch S_RD "modify subchannel" esa
b247 msta RRE_R0 "modify stacked state" esa
d2 mvc SS_L0RDRD "move" esa
e50f mvcdk SSE_RDRD "move with destination key" esa
e8 mvcin SS_L0RDRD "move inverse" esa
d9 mvck SS_RRRDRD "move with key" esa
0e mvcl RR_RR "move long" esa
da mvcp SS_RRRDRD "move to primary" esa
db mvcs SS_RRRDRD "move to secondary" esa
e50e mvcsk SSE_RDRD "move with source key" esa
92 mvi SI_URD "move" esa
d1 mvn SS_L0RDRD "move numerics" esa
f1 mvo SS_LLRDRD "move with offset" esa
b254 mvpg RRE_RR "move page" esa
b255 mvst RRE_RR "move string" esa
d3 mvz SS_L0RDRD "move zones" esa
67 mxd RX_FRRD "multiply (long to ext.)" esa
27 mxdr RR_FF "multiply (long to ext.)" esa
26 mxr RR_FF "multiply (ext.)" esa
54 n RX_RRRD "AND" esa
d4 nc SS_L0RDRD "AND" esa
94 ni SI_URD "AND" esa
14 nr RR_RR "AND" esa
56 o RX_RRRD "OR" esa
d6 oc SS_L0RDRD "OR" esa
96 oi SI_URD "OR" esa
16 or RR_RR "OR" esa
f2 pack SS_LLRDRD "pack" esa
b248 palb RRE_00 "purge ALB" esa
b218 pc S_RD "program call" esa
0101 pr E "program return" esa
b228 pt RRE_RR "program transfer" esa
b20d ptlb S_00 "purge TLB" esa
b23b rchp S_00 "reset channel path" esa
b22a rrbe RRE_RR "reset reference bit extended" esa
b238 rsch S_00 "resume subchannel" esa
5b s RX_RRRD "subtract" esa
b219 sac S_RD "set address space control" esa
b279 sacf S_RD "set address space control fast" esa
b237 sal S_00 "set address limit" esa
b24e sar RRE_AR "set access" esa
b23c schm S_00 "set channel monitor" esa
b204 sck S_RD "set clock" esa
b206 sckc S_RD "set clock comparator" esa
