# CaseFolding-2.txt
#
# Case Folding Properties
#
# This file is a supplement to the UnicodeData file.
# It provides a case folding mapping generated from the Unicode Character Database.
# If all characters are mapped according to this mapping, then
# case differences (according to UnicodeData.txt and SpecialCasing.txt)
# are eliminated.
#
# For information on case folding, see 
# UTR #21 Case Mappings, at http://www.unicode.org/unicode/reports/tr21/
#
# These are informative character properties.
#
# Send comments to mark@unicode.org
#
# ================================================================================
# Format
# ================================================================================
# The entries in this file are in the following machine-readable format:
#
# <code>; <status>; <mapping>; # <name>
#
# The status is:
#   L (for Lowercase) if the case mapping matches the standard 1-1 lowercase mapping
#   E (for exception) if it does not.
#
# The mapping may consist of multiple characters.
# If so, they are separated by spaces.
#
# =================================================================

0041; L; 0061;	#LATIN CAPITAL LETTER A
0042; L; 0062;	#LATIN CAPITAL LETTER B
0043; L; 0063;	#LATIN CAPITAL LETTER C
0044; L; 0064;	#LATIN CAPITAL LETTER D
0045; L; 0065;	#LATIN CAPITAL LETTER E
0046; L; 0066;	#LATIN CAPITAL LETTER F
0047; L; 0067;	#LATIN CAPITAL LETTER G
0048; L; 0068;	#LATIN CAPITAL LETTER H
0049; L; 0069;	#LATIN CAPITAL LETTER I
004A; L; 006A;	#LATIN CAPITAL LETTER J
004B; L; 006B;	#LATIN CAPITAL LETTER K
004C; L; 006C;	#LATIN CAPITAL LETTER L
004D; L; 006D;	#LATIN CAPITAL LETTER M
004E; L; 006E;	#LATIN CAPITAL LETTER N
004F; L; 006F;	#LATIN CAPITAL LETTER O
0050; L; 0070;	#LATIN CAPITAL LETTER P
0051; L; 0071;	#LATIN CAPITAL LETTER Q
0052; L; 0072;	#LATIN CAPITAL LETTER R
0053; L; 0073;	#LATIN CAPITAL LETTER S
0054; L; 0074;	#LATIN CAPITAL LETTER T
0055; L; 0075;	#LATIN CAPITAL LETTER U
0056; L; 0076;	#LATIN CAPITAL LETTER V
0057; L; 0077;	#LATIN CAPITAL LETTER W
0058; L; 0078;	#LATIN CAPITAL LETTER X
0059; L; 0079;	#LATIN CAPITAL LETTER Y
005A; L; 007A;	#LATIN CAPITAL LETTER Z
00B5; E; 03BC;	#MICRO SIGN
00C0; L; 00E0;	#LATIN CAPITAL LETTER A WITH GRAVE
00C1; L; 00E1;	#LATIN CAPITAL LETTER A WITH ACUTE
00C2; L; 00E2;	#LATIN CAPITAL LETTER A WITH CIRCUMFLEX
00C3; L; 00E3;	#LATIN CAPITAL LETTER A WITH TILDE
00C4; L; 00E4;	#LATIN CAPITAL LETTER A WITH DIAERESIS
00C5; L; 00E5;	#LATIN CAPITAL LETTER A WITH RING ABOVE
00C6; L; 00E6;	#LATIN CAPITAL LETTER AE
00C7; L; 00E7;	#LATIN CAPITAL LETTER C WITH CEDILLA
00C8; L; 00E8;	#LATIN CAPITAL LETTER E WITH GRAVE
00C9; L; 00E9;	#LATIN CAPITAL LETTER E WITH ACUTE
00CA; L; 00EA;	#LATIN CAPITAL LETTER E WITH CIRCUMFLEX
00CB; L; 00EB;	#LATIN CAPITAL LETTER E WITH DIAERESIS
