#Value; Short Name; Unicode Name
U+1100; G; HANGUL CHOSEONG KIYEOK
U+1101; GG; HANGUL CHOSEONG SSANGKIYEOK
U+1102; N; HANGUL CHOSEONG NIEUN
U+1103; D; HANGUL CHOSEONG TIKEUT
U+1104; DD; HANGUL CHOSEONG SSANGTIKEUT
U+1105; R; HANGUL CHOSEONG RIEUL
U+1106; M; HANGUL CHOSEONG MIEUM
U+1107; B; HANGUL CHOSEONG PIEUP
U+1108; BB; HANGUL CHOSEONG SSANGPIEUP
U+1109; S; HANGUL CHOSEONG SIOS
U+110A; SS; HANGUL CHOSEONG SSANGSIOS
U+110B; ; HANGUL CHOSEONG IEUNG
U+110C; J; HANGUL CHOSEONG CIEUC
U+110D; JJ; HANGUL CHOSEONG SSANGCIEUC
U+110E; C; HANGUL CHOSEONG CHIEUCH
U+110F; K; HANGUL CHOSEONG KHIEUKH
U+1110; T; HANGUL CHOSEONG THIEUTH
U+1111; P; HANGUL CHOSEONG PHIEUPH
U+1112; H; HANGUL CHOSEONG HIEUH
U+1161; A; HANGUL JUNGSEONG A
U+1162; AE; HANGUL JUNGSEONG AE
U+1163; YA; HANGUL JUNGSEONG YA
U+1164; YAE; HANGUL JUNGSEONG YAE
U+1165; EO; HANGUL JUNGSEONG EO
U+1166; E; HANGUL JUNGSEONG E
U+1167; YEO; HANGUL JUNGSEONG YEO
U+1168; YE; HANGUL JUNGSEONG YE
U+1169; O; HANGUL JUNGSEONG O
U+116A; WA; HANGUL JUNGSEONG WA
U+116B; WAE; HANGUL JUNGSEONG WAE
U+116C; OE; HANGUL JUNGSEONG OE
U+116D; YO; HANGUL JUNGSEONG YO
U+116E; U; HANGUL JUNGSEONG U
U+116F; WEO; HANGUL JUNGSEONG WEO
U+1170; WE; HANGUL JUNGSEONG WE
U+1171; WI; HANGUL JUNGSEONG WI
U+1172; YU; HANGUL JUNGSEONG YU
U+1173; EU; HANGUL JUNGSEONG EU
U+1174; YI; HANGUL JUNGSEONG YI
U+1175; I; HANGUL JUNGSEONG I
U+11A8; G; HANGUL JONGSEONG KIYEOK
U+11A9; GG; HANGUL JONGSEONG SSANGKIYEOK
U+11AA; GS; HANGUL JONGSEONG KIYEOK-SIOS
U+11AB; N; HANGUL JONGSEONG NIEUN
U+11AC; NJ; HANGUL JONGSEONG NIEUN-CIEUC
U+11AD; NH; HANGUL JONGSEONG NIEUN-HIEUH
U+11AE; D; HANGUL JONGSEONG TIKEUT
U+11AF; L; HANGUL JONGSEONG RIEUL
U+11B0; LG; HANGUL JONGSEONG RIEUL-KIYEOK
U+11B1; LM; HANGUL JONGSEONG RIEUL-MIEUM
U+11B2; LB; HANGUL JONGSEONG RIEUL-PIEUP
U+11B3; LS; HANGUL JONGSEONG RIEUL-SIOS
U+11B4; LT; HANGUL JONGSEONG RIEUL-THIEUTH
U+11B5; LP; HANGUL JONGSEONG RIEUL-PHIEUPH
U+11B6; LH; HANGUL JONGSEONG RIEUL-HIEUH
U+11B7; M; HANGUL JONGSEONG MIEUM
U+11B8; B; HANGUL JONGSEONG PIEUP
U+11B9; BS; HANGUL JONGSEONG PIEUP-SIOS
U+11BA; S; HANGUL JONGSEONG SIOS
U+11BB; SS; HANGUL JONGSEONG SSANGSIOS
U+11BC; NG; HANGUL JONGSEONG IEUNG
U+11BD; J; HANGUL JONGSEONG CIEUC
U+11BE; C; HANGUL JONGSEONG CHIEUCH
U+11BF; K; HANGUL JONGSEONG KHIEUKH
U+11C0; T; HANGUL JONGSEONG THIEUTH
U+11C1; P; HANGUL JONGSEONG PHIEUPH
U+11C2; H; HANGUL JONGSEONG HIEUH

