Filename                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
fuzz/clock.c                              24                 1    95.83%           4                 0   100.00%          35                 1    97.14%
fuzz/pcsc.c                               59                 0   100.00%           8                 0   100.00%          75                12    84.00%
fuzz/prng.c                               31                 0   100.00%           2                 0   100.00%          35                 1    97.14%
fuzz/udev.c                              109                 1    99.08%          17                 0   100.00%         126                11    91.27%
fuzz/uniform_random.c                      7                 1    85.71%           1                 0   100.00%          12                 1    91.67%
fuzz/wrap.c                               17                 0   100.00%           3                 0   100.00%          29                 0   100.00%
openbsd-compat/explicit_bzero.c            4                 0   100.00%           1                 0   100.00%           7                 0   100.00%
openbsd-compat/freezero.c                  4                 0   100.00%           1                 0   100.00%           6                 0   100.00%
openbsd-compat/recallocarray.c            41                 7    82.93%           1                 0   100.00%          36                 7    80.56%
openbsd-compat/strlcat.c                  12                 1    91.67%           1                 0   100.00%          21                 1    95.24%
openbsd-compat/timingsafe_bcmp.c           4                 0   100.00%           1                 0   100.00%           7                 0   100.00%
src/aes256.c                             118                 4    96.61%           8                 0   100.00%         157                14    91.08%
src/assert.c                             565                42    92.57%          56                 3    94.64%         694                42    93.95%
src/authkey.c                             44                 0   100.00%           5                 0   100.00%          59                 0   100.00%
src/bio.c                                419                20    95.23%          49                 2    95.92%         559                24    95.71%
src/blob.c                                53                 2    96.23%          10                 0   100.00%          83                 4    95.18%
src/buf.c                                  8                 1    87.50%           2                 0   100.00%          16                 1    93.75%
src/cbor.c                              1049                23    97.81%          54                 0   100.00%        1237                45    96.36%
src/compress.c                           105                14    86.67%           5                 0   100.00%         122                24    80.33%
src/config.c                             108                 0   100.00%          11                 0   100.00%         151                 0   100.00%
src/cred.c                               634                36    94.32%          69                 2    97.10%         830                39    95.30%
src/credman.c                            382                10    97.38%          40                 0   100.00%         518                18    96.53%
src/dev.c                                332                71    78.61%          41                 6    85.37%         378                86    77.25%
src/ecdh.c                               117                 2    98.29%           4                 0   100.00%         146                 5    96.58%
src/eddsa.c                               88                 5    94.32%          10                 0   100.00%         114                 9    92.11%
src/err.c                                122                10    91.80%           1                 0   100.00%         126                10    92.06%
src/es256.c                              315                 7    97.78%          19                 0   100.00%         372                12    96.77%
src/hid.c                                 87                 2    97.70%          14                 0   100.00%         145                 3    97.93%
src/hid_linux.c                          173                68    60.69%          14                 7    50.00%         250               105    58.00%
src/hid_unix.c                            29                21    27.59%           2                 0   100.00%          43                26    39.53%
src/info.c                               186                 0   100.00%          40                 0   100.00%         321                 0   100.00%
src/io.c                                 185                 7    96.22%          13                 0   100.00%         221                12    94.57%
src/iso7816.c                             18                 1    94.44%           5                 0   100.00%          38                 1    97.37%
src/largeblob.c                          514                19    96.30%          30                 0   100.00%         684                46    93.27%
src/log.c                                 39                 5    87.18%           7                 1    85.71%          63                 7    88.89%
src/netlink.c                            329                14    95.74%          40                 0   100.00%         498                33    93.37%
src/nfc.c                                142                 7    95.07%          11                 1    90.91%         223                27    87.89%
src/nfc_linux.c                          174                56    67.82%          13                 5    61.54%         245               103    57.96%
src/pcsc.c                               201                 1    99.50%          13                 0   100.00%         278                 3    98.92%
src/pin.c                                403                 3    99.26%          26                 0   100.00%         495                 4    99.19%
src/random.c                               6                 1    83.33%           1                 0   100.00%           6                 1    83.33%
src/reset.c                               24                 0   100.00%           3                 0   100.00%          23                 0   100.00%
src/rs1.c                                 25                 2    92.00%           3                 0   100.00%          39                 4    89.74%
src/rs256.c                              141                 8    94.33%          13                 0   100.00%         172                11    93.60%
src/time.c                                43                 3    93.02%           3                 0   100.00%          43                 2    95.35%
src/touch.c                               67                 0   100.00%           2                 0   100.00%          79                 0   100.00%
src/tpm.c                                103                 3    97.09%           9                 0   100.00%         194                 9    95.36%
src/types.c                               25                 0   100.00%           6                 0   100.00%          46                 0   100.00%
src/u2f.c                                528                 4    99.24%          17                 0   100.00%         685                12    98.25%
src/util.c                                14                 1    92.86%           1                 0   100.00%          14                 1    92.86%

Files which contain no functions:
fuzz/mutator_aux.h                         0                 0         -           0                 0         -           0                 0         -
openbsd-compat/openbsd-compat.h            0                 0         -           0                 0         -           0                 0         -
openbsd-compat/time.h                      0                 0         -           0                 0         -           0                 0         -
src/extern.h                               0                 0         -           0                 0         -           0                 0         -
src/fido.h                                 0                 0         -           0                 0         -           0                 0         -
src/fido/err.h                             0                 0         -           0                 0         -           0                 0         -
src/fido/param.h                           0                 0         -           0                 0         -           0                 0         -
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                   8227               484    94.12%         710                27    96.20%       10756               777    92.78%
