# Generated file. DO NOT EDIT
#
# This file is generated by gas/testsuite/gas/sh/arch/arch.exp .
# It contains the expected results of the tests.
# If the tests are failing because the expected results
# have changed then run 'make check' and copy the new file
# from <objdir>/gas/testsuite/arch_results.txt
# to   <srcdir>/gas/testsuite/gas/sh/arch/arch_expected.txt .
# Make sure the new expected results are ALL correct.
#
# FILE               OPTION                    OUTPUT
# ----               ------                    ------
sh-dsp.s             default-options           ERROR
sh-dsp.s             -dsp                      sh-dsp
sh-dsp.s             -isa=any                  sh-dsp
sh-dsp.s             -isa=dsp                  sh-dsp
sh-dsp.s             -isa=fp                   ERROR
sh-dsp.s             -isa=sh-dsp               sh-dsp
sh-dsp.s             -isa=sh-dsp-up            sh-dsp
sh-dsp.s             -isa=sh                   ERROR
sh-dsp.s             -isa=sh-up                sh-dsp
sh-dsp.s             -isa=sh2                  ERROR
sh-dsp.s             -isa=sh2-up               sh-dsp
sh-dsp.s             -isa=sh2a-nofpu-or-sh3-nommu ERROR
sh-dsp.s             -isa=sh2a-nofpu-or-sh3-nommu-up sh3-dsp
sh-dsp.s             -isa=sh2a-nofpu-or-sh4-nommu-nofpu ERROR
sh-dsp.s             -isa=sh2a-nofpu-or-sh4-nommu-nofpu-up sh4al-dsp
sh-dsp.s             -isa=sh2a-nofpu           ERROR
sh-dsp.s             -isa=sh2a-nofpu-up        ERROR
sh-dsp.s             -isa=sh2a-or-sh3e         ERROR
sh-dsp.s             -isa=sh2a-or-sh3e-up      ERROR
sh-dsp.s             -isa=sh2a-or-sh4          ERROR
sh-dsp.s             -isa=sh2a-or-sh4-up       ERROR
sh-dsp.s             -isa=sh2a                 ERROR
sh-dsp.s             -isa=sh2a-up              ERROR
sh-dsp.s             -isa=sh2e                 ERROR
sh-dsp.s             -isa=sh2e-up              ERROR
sh-dsp.s             -isa=sh3-dsp              sh3-dsp
sh-dsp.s             -isa=sh3-dsp-up           sh3-dsp
sh-dsp.s             -isa=sh3-nommu            ERROR
sh-dsp.s             -isa=sh3-nommu-up         sh3-dsp
sh-dsp.s             -isa=sh3                  ERROR
sh-dsp.s             -isa=sh3-up               sh3-dsp
sh-dsp.s             -isa=sh3e                 ERROR
sh-dsp.s             -isa=sh3e-up              ERROR
sh-dsp.s             -isa=sh4-nofpu            ERROR
sh-dsp.s             -isa=sh4-nofpu-up         sh4al-dsp
sh-dsp.s             -isa=sh4-nommu-nofpu      ERROR
sh-dsp.s             -isa=sh4-nommu-nofpu-up   sh4al-dsp
sh-dsp.s             -isa=sh4                  ERROR
sh-dsp.s             -isa=sh4-up               ERROR
sh-dsp.s             -isa=sh4a-nofpu           ERROR
sh-dsp.s             -isa=sh4a-nofpu-up        sh4al-dsp
sh-dsp.s             -isa=sh4a                 ERROR
sh-dsp.s             -isa=sh4a-up              ERROR
sh-dsp.s             -isa=sh4al-dsp            sh4al-dsp
sh-dsp.s             -isa=sh4al-dsp-up         sh4al-dsp
sh.s                 default-options           sh
sh.s                 -dsp                      sh
sh.s                 -isa=any                  sh
sh.s                 -isa=dsp                  sh
sh.s                 -isa=fp                   sh
sh.s                 -isa=sh-dsp               sh-dsp
sh.s                 -isa=sh-dsp-up            sh-dsp
sh.s                 -isa=sh                   sh
sh.s                 -isa=sh-up                sh
sh.s                 -isa=sh2                  sh2
sh.s                 -isa=sh2-up               sh2
sh.s                 -isa=sh2a-nofpu-or-sh3-nommu sh2a-nofpu-or-sh3-nommu
sh.s                 -isa=sh2a-nofpu-or-sh3-nommu-up sh2a-nofpu-or-sh3-nommu
sh.s                 -isa=sh2a-nofpu-or-sh4-nommu-nofpu sh2a-nofpu-or-sh4-nommu-nofpu
sh.s                 -isa=sh2a-nofpu-or-sh4-nommu-nofpu-up sh2a-nofpu-or-sh4-nommu-nofpu
sh.s                 -isa=sh2a-nofpu           sh2a-nofpu
sh.s                 -isa=sh2a-nofpu-up        sh2a-nofpu
sh.s                 -isa=sh2a-or-sh3e         sh2a-or-sh3e
sh.s                 -isa=sh2a-or-sh3e-up      sh2a-or-sh3e
sh.s                 -isa=sh2a-or-sh4          sh2a-or-sh4
